" Product"," Status"," Volume Pricing"," Architecture"," Memory Type"," Program Memory KBytes"," Program Memory KWords"," Self-write"," EEPROM Data Memory"," RAM"," I/O Pins"," Pin count"," Max. CPU Speed MHz"," CPU Speed MIPS"," Internal Oscillator"," # of A/D Ch."," Cap Touch Channels"," Digital Communication"," Timers"," Temperature Range"," Operation Voltage Range"," Packages"
"  MTR6618"," In Production "," Call for pricing"," 8"," Flash"," 128"," 64"," Yes"," 0"," 3904"," 50"," 64"," 48"," 12","  ","  ","  ","  "," 0 - 8-bit   0 - 16-bit    0 - 32-bit  "," -40 to 85"," 2V - 3.6V"," 64/TQFP"
"  MTR6618-I/PT"," In Production "," Call for pricing"," 8"," Flash"," 128"," 64"," Yes"," 0"," 3904"," 50"," 64"," 48"," 12","  ","  ","  ","  "," 0 - 8-bit   0 - 16-bit    0 - 32-bit  "," -40 to 85"," 2V - 3.6V"," Please call for package information"
"  PIC10F200"," In Production "," $0.30"," 8"," Flash"," 0.375"," 0.25"," No"," 0"," 16"," 4"," 6"," 4"," 1"," 4 MHz "," 0","  "," 0 -UART    0 -A/E/USART    0 -SPI    0 -I2C   "," 1 - 8-bit   0 - 16-bit    0 - 32-bit  "," -40 to 125"," 2V - 5.5V"," 6/SOT-23 8/DFN 8/PDIP"
"  PIC10F202"," In Production "," $0.33"," 8"," Flash"," 0.75"," 0.5"," No"," 0"," 24"," 4"," 6"," 4"," 1"," 4 MHz "," 0","  "," 0 -UART    0 -A/E/USART    0 -SPI    0 -I2C   "," 1 - 8-bit   0 - 16-bit    0 - 32-bit  "," -40 to 125"," 2V - 5.5V"," 6/SOT-23 8/DFN 8/PDIP"
"  PIC10F204"," In Production "," $0.33"," 8"," Flash"," 0.375"," 0.25"," No"," 0"," 16"," 4"," 6"," 4"," 1"," 4 MHz "," 0"," 1"," 0 -UART    0 -A/E/USART    0 -SPI    0 -I2C   "," 1 - 8-bit   0 - 16-bit    0 - 32-bit  "," -40 to 125"," 2V - 5.5V"," 6/SOT-23 8/DFN 8/PDIP"
"  PIC10F206"," In Production "," $0.36"," 8"," Flash"," 0.75"," 0.5"," No"," 0"," 24"," 4"," 6"," 4"," 1"," 4 MHz "," 0"," 1"," 0 -UART    0 -A/E/USART    0 -SPI    0 -I2C   "," 1 - 8-bit   0 - 16-bit    0 - 32-bit  "," -40 to 125"," 2V - 5.5V"," 6/SOT-23 8/DFN 8/PDIP"
"  PIC10F220"," In Production "," $0.34"," 8"," Flash"," 0.375"," 0.25"," No"," 0"," 16"," 4"," 6"," 8"," 2"," 4 MHz, 8 MHz "," 2"," 2"," 0 -UART    0 -A/E/USART    0 -SPI    0 -I2C   "," 1 - 8-bit   0 - 16-bit    0 - 32-bit  "," -40 to 125"," 2V - 5.5V"," 6/SOT-23 8/DFN 8/PDIP"
"  PIC10F222"," In Production "," $0.36"," 8"," Flash"," 0.75"," 0.5"," No"," 0"," 23"," 4"," 6"," 8"," 2"," 4 MHz, 8 MHz "," 2"," 2"," 0 -UART    0 -A/E/USART    0 -SPI    0 -I2C   "," 1 - 8-bit   0 - 16-bit    0 - 32-bit  "," -40 to 125"," 2V - 5.5V"," 6/SOT-23 8/DFN 8/PDIP"
"  PIC10F320"," In Production "," $0.36"," 8"," Flash"," 0.448"," 0.256"," Yes"," 0"," 64"," 4"," 6"," 16"," 5"," 16 MHz, 32 kHz "," 3","  "," 0 -UART   "," 2 - 8-bit   0 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 6/SOT-23 8/DFN 8/PDIP"
"  PIC10F322"," In Production "," $0.39"," 8"," Flash"," 0.896"," 0.512"," Yes"," 0"," 64"," 4"," 6"," 16"," 4"," 16 MHz, 32 kHz "," 3","  ","  "," 2 - 8-bit   0 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 6/SOT-23 8/DFN 8/PDIP 14/PDIP"
